BearID,Sex,Age,Capture Date,Year,Pop,TypicalSummerHabitat,SummerHabitatDuringHairGrowth,Lat,Long,d15N Air,d13C VPDB,Percent N,Percent C
21307,F,3,4/13/2014,2014,SB,ice,unknown,,-148.7198,20.1,-16.5,16.52,46.8
20950,M,3,4/30/2006,2006,SB,unknown,unknown,70.1925,-144.0219,20.3,-17.5,16.11,47.17
20845,F,4,10/9/2009,2009,SB,land,land,69.9234,-144.8169,19.7,-16.7,18.94,54.71
6599,F,4,4/10/1989,1989,CS,NA,NA,NA,NA,21.3,-16.4,15.86,45.87
6722,M,4,4/19/1987,1987,CS,NA,NA,NA,NA,20.9,-14.3,14.07,40.99
6723,M,4,4/19/1987,1987,CS,NA,NA,NA,NA,21.6,-14.5,14.88,43.31
6724,F,4,4/20/1987,1987,CS,NA,NA,NA,NA,21.4,-14.3,15.79,46.02
6765,F,4,4/2/1988,1988,CS,NA,NA,NA,NA,21.8,-14.1,15.51,45.02
21054,M,4,4/8/2008,2008,CS,NA,NA,66.941,-165.1566,19.6,-15.8,15.1,42.9
21525,M,4,4/22/2011,2011,CS,NA,NA,67.0552,-165.2271,20.8,-15.3,17.3,49.7
21637,F,4,4/21/2015,2015,CS,NA,NA,67.1856,-165.3009,20.7,-15.9,15.96,46.65
21707,F,4,3/25/2017,2017,CS,NA,NA,67.045,-165.8064,21.7,-17,15.14,43.51
21059,M,4,4/9/2008,2008,CS,NA,NA,67.1635,-165.9726,19.9,-15.1,15.1,43.1
21073,F,4,4/25/2008,2008,CS,NA,NA,67.9043,-166.0771,20.9,-15.7,14.7,42.3
21661,F,4,4/5/2016,2016,CS,NA,NA,67.6118,-166.2185,20.5,-15.3,11.72,34.14
21066,F,4,4/12/2008,2008,CS,NA,NA,66.9407,-166.3815,20.5,-16,16.3,46.7
21710,F,4,3/26/2017,2017,CS,NA,NA,67.5987,-166.4208,21.6,-16.1,15.96,45.78
21527,F,4,4/22/2011,2011,CS,NA,NA,67.1551,-166.5118,21,-15.2,15.4,43.9
21642,F,4,4/25/2015,2015,CS,NA,NA,67.4091,-166.5579,20.7,-15.6,16.37,47.35
6595,F,4,3/29/1987,1987,CS,NA,NA,66.8167,-166.5667,21.1,-14.8,16.14,47.1
21518,M,4,4/20/2011,2011,CS,NA,NA,66.5747,-166.7243,20.4,-15.3,14.9,42.7
21098,F,4,4/5/2009,2009,CS,NA,NA,67.9874,-166.8562,21.2,-15.9,16.7,48.3
21683,M,4,4/13/2016,2016,CS,NA,NA,66.6322,-167.1383,19.5,-14.9,17.87,52.67
21732,M,4,4/4/2017,2017,CS,NA,NA,67.2015,-167.2237,18.8,-15.4,17.6,50.73
21103,M,4,4/12/2009,2009,CS,NA,NA,68.3762,-167.2502,20.8,-14.9,16.1,46.4
21616,M,4,3/28/2017,2017,CS,NA,NA,67.1837,-167.3277,20.2,-15.6,14.95,43.16
21088,F,4,4/2/2009,2009,CS,NA,NA,67.9733,-167.3296,21.2,-16.1,14.8,43.5
21735,F,4,4/4/2017,2017,CS,NA,NA,67.1132,-167.3752,21.2,-15.6,14.2,40.96
21086,M,4,4/1/2009,2009,CS,NA,NA,68.0344,-167.403,21.1,-16.6,18.8,55.2
21093,M,4,4/3/2009,2009,CS,NA,NA,67.5698,-167.4164,20.9,-16.1,15.8,46
21718,F,4,3/27/2017,2017,CS,NA,NA,67.1969,-167.6125,20.1,-16.7,15.17,43.73
21380,F,4,4/14/2015,2015,SB,ice,unknown,70.734,-150.39,21.7,-17.9,12.43,36.05
20807,F,4,10/14/2009,2009,SB,unknown,unknown,NA,NA,19.5,-16.1,17.91,51.74
21404,M,4,4/22/2016,2016,SB,unknown,unknown,,-146.2498,20.3,-17.7,14.56,42.15
6710,F,5,3/31/1987,1987,CS,NA,NA,NA,NA,21.4,-14.6,15.07,44.07
6721,M,5,4/18/1988,1988,CS,NA,NA,NA,NA,21,-14.2,14.43,41.94
6731,M,5,4/7/1988,1988,CS,NA,NA,NA,NA,20.2,-14.1,15.67,45.17
6760,F,5,3/31/1988,1988,CS,NA,NA,NA,NA,20.9,-14.5,17.15,50.36
21526,M,5,4/22/2011,2011,CS,NA,NA,67.0552,-165.2271,20.7,-15.6,16.2,46.1
21614,M,5,4/10/2015,2015,CS,NA,NA,66.6454,-165.5842,21,-15.6,14.77,42.96
6750,F,5,3/19/1988,1988,CS,NA,NA,66.7167,-165.7167,21.2,-14.5,13.97,40.47
21065,M,5,3/17/2010,2010,CS,NA,NA,66.8019,-166.0281,20.4,-15.8,15.4,44.8
21078,F,5,4/26/2008,2008,CS,NA,NA,67.7991,-166.0702,19.6,-15.3,11.3,33.6
21079,M,5,4/26/2008,2008,CS,NA,NA,67.7991,-166.0702,20.1,-15.5,13.9,39.7
6764,F,5,4/2/1988,1988,CS,NA,NA,69.15,-166.1,21.6,-14.6,16.08,46.68
21061,F,5,4/9/2008,2008,CS,NA,NA,67.2514,-166.1725,21,-15.9,15.3,43.3
21538,F,5,4/28/2011,2011,CS,NA,NA,67.3799,-166.2101,20.4,-15.5,15.3,44
21193,F,5,4/27/2010,2010,CS,NA,NA,67.9721,-166.3382,20.5,-14.9,14.4,41
21721,M,5,3/30/2017,2017,CS,NA,NA,67.9722,-166.582,21.2,-16.2,14.16,40.66
21523,M,5,4/5/2016,2016,CS,NA,NA,67.8171,-166.7493,21.2,-15.6,15.54,45.42
21641,M,5,4/25/2015,2015,CS,NA,NA,67.5863,-166.8379,19.7,-15.3,12.59,36.45
21692,F,5,4/15/2016,2016,CS,NA,NA,67.0708,-166.8612,21.5,-16.1,14.3,41.55
21089,F,5,4/2/2009,2009,CS,NA,NA,68.045,-167.0538,20.7,-15.6,14.4,43.2
21097,M,5,4/5/2009,2009,CS,NA,NA,68.1102,-167.0844,20.1,-14.7,16,46.2
21619,M,5,4/12/2015,2015,CS,NA,NA,67.7709,-167.1377,20.5,-15.7,14.07,40.69
21162,F,5,4/2/2010,2010,CS,NA,NA,67.8782,-167.2109,20.2,-16.1,14.9,43.3
21103,M,5,3/30/2010,2010,CS,NA,NA,67.9086,-167.3345,21.2,-16.1,14.6,42.5
21170,M,5,4/9/2010,2010,CS,NA,NA,67.9149,-167.3499,20.7,-15.9,14.6,41.9
21158,F,5,3/30/2010,2010,CS,NA,NA,68.4512,-167.4168,20.6,-15.9,15.4,43.7
21733,M,5,4/4/2017,2017,CS,NA,NA,67.1053,-167.5279,20.7,-16,14.74,42.8
21121,M,5,5/1/2009,2009,CS,NA,NA,68.0584,-167.6215,20.4,-16,14.9,44.2
